AAo: win 0.8503, lose 0.1445, tie 0.0052, total 90354
KKo: win 0.8190, lose 0.1756, tie 0.0055, total 90837
QQo: win 0.7970, lose 0.1969, tie 0.0061, total 90272
JJo: win 0.7693, lose 0.2243, tie 0.0064, total 90413
TTo: win 0.7491, lose 0.2439, tie 0.0071, total 90953
99o: win 0.7164, lose 0.2762, tie 0.0074, total 90477
88o: win 0.6871, lose 0.3044, tie 0.0085, total 89990
KAs: win 0.6606, lose 0.3236, tie 0.0159, total 60450
77o: win 0.6548, lose 0.3346, tie 0.0106, total 90445
QAs: win 0.6523, lose 0.3295, tie 0.0182, total 60081
JAs: win 0.6436, lose 0.3368, tie 0.0195, total 60299
KAo: win 0.6426, lose 0.3408, tie 0.0167, total 180824
QAo: win 0.6345, lose 0.3472, tie 0.0183, total 181643
TAs: win 0.6341, lose 0.3432, tie 0.0227, total 60272
66o: win 0.6293, lose 0.3591, tie 0.0117, total 90328
QKs: win 0.6252, lose 0.3558, tie 0.0190, total 60445
JAo: win 0.6248, lose 0.3552, tie 0.0200, total 181325
9As: win 0.6172, lose 0.3581, tie 0.0247, total 60543
TAo: win 0.6157, lose 0.3615, tie 0.0228, total 180800
JKs: win 0.6134, lose 0.3643, tie 0.0224, total 60580
8As: win 0.6074, lose 0.3643, tie 0.0282, total 60292
QKo: win 0.6054, lose 0.3745, tie 0.0200, total 181993
TKs: win 0.6032, lose 0.3730, tie 0.0239, total 60179
7As: win 0.5967, lose 0.3708, tie 0.0326, total 60379
JKo: win 0.5950, lose 0.3824, tie 0.0226, total 181081
9Ao: win 0.5946, lose 0.3791, tie 0.0263, total 181114
55o: win 0.5922, lose 0.3935, tie 0.0142, total 91106
JQs: win 0.5897, lose 0.3856, tie 0.0247, total 60208
9Ks: win 0.5868, lose 0.3875, tie 0.0257, total 60693
TKo: win 0.5846, lose 0.3910, tie 0.0244, total 180263
8Ao: win 0.5826, lose 0.3882, tie 0.0291, total 180863
TQs: win 0.5795, lose 0.3934, tie 0.0271, total 60079
6As: win 0.5786, lose 0.3866, tie 0.0347, total 59890
5As: win 0.5782, lose 0.3846, tie 0.0372, total 60383
4As: win 0.5744, lose 0.3867, tie 0.0389, total 59907
7Ao: win 0.5715, lose 0.3949, tie 0.0336, total 180548
JQo: win 0.5707, lose 0.4050, tie 0.0243, total 180827
8Ks: win 0.5661, lose 0.4028, tie 0.0311, total 60028
3As: win 0.5633, lose 0.3994, tie 0.0374, total 60726
9Ko: win 0.5632, lose 0.4084, tie 0.0284, total 181105
9Qs: win 0.5627, lose 0.4071, tie 0.0302, total 60815
44o: win 0.5619, lose 0.4225, tie 0.0155, total 90943
